date,file,title,hex1,hex2,hex3,hex4,hex5
2026-09-02,edvard-munch_vampire.jpg,edvard-munch_vampire,#574044,#434557,#ca9f89,#7f4633,#1d1a4a
2026-09-03,F1000006.JPG,F1000006,#c7d7e1,#050b06,#6a94ab,#052c20,#9a8a77
2026-09-04,edward-hopper_soir-bleu.jpg,edward-hopper_soir-bleu,#36819f,#6b775e,#31403f,#9ba79f,#dabf74
2026-09-05,F1000008.JPG,F1000008,#4b656c,#162f34,#b1adab,#88878b,#d1c6cc
2026-09-06,F1000037.JPG,F1000037,#e5cfb9,#8a9586,#613f22,#3e5a57,#9c6a33
2026-09-07,F1010002.JPG,F1010002,#244f50,#161413,#c6c8cc,#768c89,#93a366
2026-09-08,grant-wood_american-gothic.jpg,grant-wood_american-gothic,#c3ae78,#bacbb7,#545550,#392d1d,#756d40
2026-09-09,Hiking.jpg,Hiking,#0b250a,#0b1926,#27452d,#0e2835,#1b3941
2026-09-10,hiroshi-yoshida_kagurazaka-street-at-night-after-rain.jpg,hiroshi-yoshida_kagurazaka-street-at-night-after-rain,#2b2325,#38586a,#f0d2b1,#95725b,#8e422e
2026-09-11,I See You.jpg,I See You,#040537,#e4f3be,#e31138,#f00b79,#681022
2026-09-12,ivan-aivazovsky_ship-on-stormy-seas.jpg,ivan-aivazovsky_ship-on-stormy-seas,#787b7d,#1e343f,#423c39,#f6ead4,#77a098
2026-09-16,Mountains.jpg,Mountains,#160237,#fbfba4,#f1aeab,#e16aae,#7a037d
2026-09-17,ivan-aivazovsky_the-wrath-of-the-seas.jpg,ivan-aivazovsky_the-wrath-of-the-seas,#20282b,#5f7480,#675e5c,#3f4c54,#91928a
